route_id,agency_id,route_short_name,route_long_name,route_type,transport_type,circular,urban,night
4617,orgp,З0Т,УЛ. ПОДВОЙСКОГО-РЖЕВСКАЯ ПЛ.,3,bus,0,1,0
4641,orgp,ПС,ИСААКИЕВСКАЯ ПЛОЩАДЬ - ПЕТРОГРАДСКАЯ СТОРОНА,3,bus,1,0,1
4658,orgp,10а,"ХАСАНСКАЯ УЛ.- СТ. МЕТРО ""НОВОЧЕРКАССКАЯ""10А",3,bus,0,1,0
4697,orgp,379А,"Г.ПАВЛОВСК, ВОКЗАЛ - СНТ ""ПАВЛОВСКОЕ-2""",3,bus,0,1,0
4739,orgp,1Ч,СПОРТИВНАЯ УЛ.-СТ.М.ВЫБОРГСКАЯ,3,bus,0,1,0
4796,orgp,8ТМ,"Хасанская ул. - ст. метро ""Ладожская""",3,bus,0,1,0
4977,orgp,S3,"СТ. МЕТРО ""ПЕТРОГРАДСКАЯ"" - СТАДИОН",3,bus,0,1,0
5203,orgp,СП007,Ж.Д. СТ. СОРТИРОВОЧНАЯ- СТ. М. КУПЧИНО,3,bus,0,1,0
5321,orgp,115Б,"СТ. МЕТРО ""РЫБАЦКОЕ"" - ПОС. МЕТАЛЛОСТРОЙ",3,bus,0,1,0
5343,orgp,202,"А.С. ""Ручьи"" -  Глухарская ул.",3,bus,0,1,0
5441,orgp,центр 4х,Центр 4х,3,bus,0,0,1
5462,orgp,191сп,"Р.ОККЕРВИЛЬ - СТ.М.""ПЕТРОГРАДСКАЯ""",3,bus,0,1,0
5482,orgp,201,"АС ""КИРОВСКИЙ ЗАВОД"" - АС ""НОВЫЙ ПЕТЕРГОФ""",3,bus,0,1,0
5501,orgp,175А,"Г. ЛОМОНОСОВ, ВОКЗАЛ - Г, КРОНШТАДТ, ГРАЖДАНСКАЯ УЛ.",3,bus,0,1,0
5621,orgp,29Т,Днепропетровская Тест,3,bus,0,1,0
5661,orgp,77(сп),ст.м. Пл.Мужества-ст.м.Выборгская (студенты),3,bus,0,1,0
5681,orgp,165(сп),ст метро Выборская-ст метро Площадь Мужества,3,bus,0,1,0
3878,orgp,78 К,"СТ. МЕТРО ""НАРВСКАЯ""",3,bus,1,1,0
4115,orgp,66/,"АС ""КИРОВСКИЙ ЗАВОД"" - Комсомольская пл.",3,bus,0,1,0
5721,orgp,210А,"АС ""КИРОВСКИЙ ЗАВОД"" - ЛЭМЗ",3,bus,0,1,0
4315,orgp,54А,"А.С.""МАЛАЯ БАЛКАНСКАЯ УЛ."" - СТ. МЕТРО ""БУХАРЕСТСКАЯ""",3,bus,0,1,0
5722,orgp,177 шк,"ст. метро ""Гражданский пр."" - деревня Новая",3,bus,0,1,0
1327,orgp,162,"А.С. ""СЧАСТЛИВАЯ УЛ."" - ОСОБАЯ ЭКОНОМИЧЕСКАЯ ЗОНА ""НОЙДОРФ""",3,bus,0,1,0
5762,orgp,2МВ,"АС ""КИРОВСКИЙ ЗАВОД"" - КРОНШТАДТСКАЯ ПЛ.",3,bus,0,1,0
1721,orgp,68,"АС ""СЧАСТЛИВАЯ УЛ."" - ЛЕНИНГРАДСКИЙ ЭЛЕКТРОМЕХАНИЧЕСКИЙ ЗАВОД",3,bus,0,1,0
1160,orgp,82,"Ж.-Д. СТАНЦИЯ ""ПИСКАРЕВКА"" - СТ. МЕТРО ""ЛАДОЖСКАЯ""",3,bus,0,1,0
